League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,15.08.2004 18:00,SAKARYASPOR A.Ş.,1,2,DENİZLİSPOR
Trendyol Süper Lig,15.08.2004 19:00,GENÇLERBİRLİĞİ,1,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,15.08.2004 19:00,TRABZONSPOR,3,1,A.SEBATSPOR
Trendyol Süper Lig,15.08.2004 19:00,KONYASPOR,0,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,12.08.2005 20:00,MKE ANKARAGÜCÜ,0,1,GALATASARAY A.Ş.
Trendyol Süper Lig,13.08.2005 20:00,MALATYASPOR,0,5,VESTEL MANİSASPOR
Trendyol Süper Lig,13.08.2005 20:00,ÇAYKUR RİZESPOR,1,2,SAMSUNSPOR
Trendyol Süper Lig,13.08.2005 20:00,GAZİANTEPSPOR,0,0,SİVASSPOR
Trendyol Süper Lig,13.08.2005 20:04,FENERBAHÇE,2,2,DİYARBAKIRSPOR
Trendyol Süper Lig,14.08.2005 19:00,KONYASPOR,0,0,TRABZONSPOR A.Ş.
Trendyol Süper Lig,14.08.2005 20:00,ANKARASPOR A.Ş.,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,14.08.2005 20:00,KAYSERİSPOR,1,2,KAYSERİ ERCİYESSPOR
Trendyol Süper Lig,14.08.2005 21:15,BEŞİKTAŞ A.Ş.,2,0,DENİZLİSPOR
Trendyol Süper Lig,11.08.2006 20:00,BEŞİKTAŞ A.Ş.,2,1,GAZİANTEPSPOR
Trendyol Süper Lig,12.08.2006 20:00,GENÇLERBİRLİĞİ,0,2,FENERBAHÇE
Trendyol Süper Lig,13.08.2006 19:00,TRABZONSPOR A.Ş.,1,1,VESTEL MANİSASPOR
Trendyol Süper Lig,13.08.2006 20:00,ÇAYKUR RİZESPOR,1,1,SİVASSPOR
Trendyol Süper Lig,13.08.2006 20:00,KAYSERİ ERCİYESSPOR,2,1,BURSASPOR
Trendyol Süper Lig,13.08.2006 20:00,DENİZLİSPOR,0,1,KONYASPOR
Trendyol Süper Lig,13.08.2006 20:00,MKE ANKARAGÜCÜ,1,1,ANKARASPOR A.Ş.
Trendyol Süper Lig,13.08.2006 20:00,SAKARYASPOR A.Ş.,0,0,ANTALYASPOR A.Ş.
Trendyol Süper Lig,13.08.2006 21:30,GALATASARAY A.Ş.,4,0,KAYSERİSPOR
Trendyol Süper Lig,29.08.2008 21:00,MKE ANKARAGÜCÜ,1,2,TRABZONSPOR A.Ş.
Trendyol Süper Lig,30.08.2008 21:00,ANKARASPOR A.Ş.,0,2,GAZİANTEPSPOR
Trendyol Süper Lig,30.08.2008 21:00,KOCAELİSPOR,0,2,SİVASSPOR
Trendyol Süper Lig,30.08.2008 21:00,FENERBAHÇE,2,0,BÜYÜKŞEHİR BLD.SPOR
Trendyol Süper Lig,31.08.2008 21:00,BURSASPOR,2,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,31.08.2008 21:00,ESKİŞEHİRSPOR,0,0,HACETTEPE SPOR
Trendyol Süper Lig,31.08.2008 21:00,KAYSERİSPOR,0,0,GALATASARAY A.Ş.
Trendyol Süper Lig,31.08.2008 21:00,DENİZLİSPOR,3,2,ANTALYASPOR A.Ş.
Trendyol Süper Lig,01.09.2008 21:00,BEŞİKTAŞ A.Ş.,2,0,KONYASPOR
Trendyol Süper Lig,15.08.2009 19:30,TRABZONSPOR A.Ş.,1,2,DİYARBAKIRSPOR
Trendyol Süper Lig,15.08.2009 21:00,MKE ANKARAGÜCÜ,1,1,MANİSASPOR
Trendyol Süper Lig,15.08.2009 21:45,GALATASARAY A.Ş.,4,1,DENİZLİSPOR
Trendyol Süper Lig,16.08.2009 21:00,ANKARASPOR A.Ş.,0,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,16.08.2009 21:00,ESKİŞEHİRSPOR,3,2,BURSASPOR
Trendyol Süper Lig,16.08.2009 21:00,KAYSERİSPOR,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,16.08.2009 21:00,KASIMPAŞA,1,3,BÜYÜKŞEHİR BLD.SPOR
Trendyol Süper Lig,16.08.2009 21:00,FENERBAHÇE,3,0,SİVASSPOR
Trendyol Süper Lig,17.08.2009 21:00,BEŞİKTAŞ A.Ş.,2,0,ANTALYASPOR A.Ş.
Trendyol Süper Lig,20.08.2010 21:00,KONYASPOR,2,1,ESKİŞEHİRSPOR
Trendyol Süper Lig,20.08.2010 21:00,KAYSERİSPOR,1,0,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,21.08.2010 21:00,MEDİCAL PARK ANTALYASPOR,1,1,SİVASSPOR
Trendyol Süper Lig,21.08.2010 21:00,BEŞİKTAŞ A.Ş.,0,2,BÜYÜKŞEHİR BLD.SPOR
Trendyol Süper Lig,22.08.2010 20:00,GENÇLERBİRLİĞİ,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,22.08.2010 21:00,GALATASARAY A.Ş.,0,2,BURSASPOR
Trendyol Süper Lig,22.08.2010 22:00,MANİSASPOR,0,3,MKE ANKARAGÜCÜ
Trendyol Süper Lig,23.08.2010 21:00,KASIMPAŞA,0,0,BUCASPOR
Trendyol Süper Lig,23.08.2010 21:00,TRABZONSPOR A.Ş.,3,2,FENERBAHÇE
Trendyol Süper Lig,24.08.2002 17:00,GÖZTEPE A.Ş.,1,4,ADANASPOR A.Ş.
Trendyol Süper Lig,24.08.2002 17:00,İSTANBULSPOR A.Ş.,1,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,24.08.2002 19:00,TRABZONSPOR,0,0,ALTAY
Trendyol Süper Lig,24.08.2002 19:00,KOCAELİSPOR,1,2,SAMSUNSPOR
Trendyol Süper Lig,25.08.2002 19:00,GALATASARAY,2,0,BURSASPOR
Trendyol Süper Lig,25.08.2002 19:00,MKE ANKARAGÜCÜ,3,1,ELAZIĞSPOR
Trendyol Süper Lig,25.08.2002 19:00,DİYARBAKIRSPOR,1,4,GENÇLERBİRLİĞİ
Trendyol Süper Lig,25.08.2002 19:00,DENİZLİSPOR,1,0,MALATYASPOR
Trendyol Süper Lig,11.09.2002 20:00,GAZİANTEPSPOR,3,3,FENERBAHÇE
Trendyol Süper Lig,24.08.2001 20:00,TRABZONSPOR,5,0,BURSASPOR
Trendyol Süper Lig,25.08.2001 17:00,GÖZTEPE A.Ş.,2,1,SAMSUNSPOR
Trendyol Süper Lig,25.08.2001 19:00,BEŞİKTAŞ,4,0,DİYARBAKIRSPOR
