League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,15.10.2011 19:00,BEŞİKTAŞ A.Ş.,0,2,KAYSERİSPOR
Trendyol Süper Lig,15.10.2011 19:00,SİVASSPOR,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,16.10.2011 15:00,GENÇLERBİRLİĞİ,3,0,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,16.10.2011 15:00,İSTANBUL BŞ BLD. SPOR,3,0,SAMSUNSPOR
Trendyol Süper Lig,16.10.2011 19:00,GALATASARAY A.Ş.,2,1,BURSASPOR
Trendyol Süper Lig,16.10.2011 19:00,MANİSASPOR,2,1,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,17.10.2011 20:00,MERSİN İDMAN YURDU,1,2,FENERBAHÇE A.Ş.
Trendyol Süper Lig,28.09.2012 20:00,ORDUSPOR,2,0,GALATASARAY A.Ş.
Trendyol Süper Lig,29.09.2012 17:00,BURSASPOR,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,29.09.2012 19:00,KASIMPAŞA A.Ş.,2,0,FENERBAHÇE A.Ş.
Trendyol Süper Lig,29.09.2012 19:00,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,3,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,30.09.2012 16:00,ESKİŞEHİRSPOR,1,0,İSTANBUL BBSK
Trendyol Süper Lig,30.09.2012 19:00,TRABZONSPOR A.Ş.,1,1,MERSİN İDMANYURDU
Trendyol Süper Lig,30.09.2012 19:00,MEDİCAL PARK ANTALYASPOR,4,0,SANİCA BORU ELAZIĞSPOR
Trendyol Süper Lig,30.09.2012 20:00,GENÇLERBİRLİĞİ,4,0,KAYSERİSPOR
Trendyol Süper Lig,01.10.2012 20:00,BEŞİKTAŞ A.Ş.,0,1,SİVASSPOR
Trendyol Süper Lig,21.10.2011 20:00,MEDİCAL PARK ANTALYASPOR,0,0,GALATASARAY A.Ş.
Trendyol Süper Lig,22.10.2011 15:00,ESKİŞEHİRSPOR,0,2,MANİSASPOR
Trendyol Süper Lig,22.10.2011 19:00,BURSASPOR,1,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,22.10.2011 19:00,KARDEMİR D.Ç. KARABÜKSPOR,2,0,İSTANBUL BŞ BLD. SPOR
Trendyol Süper Lig,23.10.2011 15:00,MKE ANKARAGÜCÜ,0,2,ORDUSPOR
Trendyol Süper Lig,23.10.2011 15:00,KAYSERİSPOR,6,2,SİVASSPOR
Trendyol Süper Lig,23.10.2011 19:00,GAZİANTEPSPOR,3,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,23.10.2011 19:00,FENERBAHÇE A.Ş.,0,0,SAMSUNSPOR
Trendyol Süper Lig,24.10.2011 20:00,MERSİN İDMAN YURDU,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,05.10.2012 20:00,GAZİANTEPSPOR,0,1,MEDİCAL PARK ANTALYASPOR
Trendyol Süper Lig,05.10.2012 20:00,TRABZONSPOR A.Ş.,1,0,KASIMPAŞA A.Ş.
Trendyol Süper Lig,05.10.2012 20:00,KARDEMİR D.Ç. KARABÜKSPOR,1,1,ORDUSPOR
Trendyol Süper Lig,06.10.2012 16:00,İSTANBUL BBSK,0,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,06.10.2012 19:00,GALATASARAY A.Ş.,1,1,ESKİŞEHİRSPOR
Trendyol Süper Lig,06.10.2012 19:00,SANİCA BORU ELAZIĞSPOR,0,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR
Trendyol Süper Lig,07.10.2012 16:00,SİVASSPOR,2,2,BURSASPOR
Trendyol Süper Lig,07.10.2012 19:00,FENERBAHÇE A.Ş.,3,0,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,07.10.2012 19:00,MERSİN İDMANYURDU,1,2,KAYSERİSPOR
Trendyol Süper Lig,26.10.2011 18:00,SAMSUNSPOR,0,0,KARDEMİR D.Ç. KARABÜKSPOR
Trendyol Süper Lig,26.10.2011 18:00,İSTANBUL BŞ BLD. SPOR,2,2,ESKİŞEHİRSPOR
Trendyol Süper Lig,26.10.2011 18:30,ORDUSPOR,1,1,BURSASPOR
