League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,30.09.2000 19:00,İSTANBULSPOR A.Ş.,1,0,ERZURUMSPOR
Trendyol Süper Lig,30.09.2000 19:00,GENÇLERBİRLİĞİ,1,4,GALATASARAY
Trendyol Süper Lig,30.09.2000 19:00,KOCAELİSPOR,0,0,BURSASPOR
Trendyol Süper Lig,01.10.2000 14:00,SİİRT JETPA SPOR,1,4,TRABZONSPOR
Trendyol Süper Lig,01.10.2000 15:00,YİMPAŞ YOZGATSPOR,0,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,01.10.2000 19:00,BEŞİKTAŞ,2,4,GAZİANTEPSPOR
Trendyol Süper Lig,01.10.2000 19:00,ADANASPOR A.Ş.,1,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,01.10.2000 19:00,ANTALYASPOR A.Ş.,0,1,FENERBAHÇE
Trendyol Süper Lig,13.10.2000 20:00,ADANASPOR A.Ş.,2,3,DENİZLİSPOR
Trendyol Süper Lig,14.10.2000 19:00,GALATASARAY,4,1,SİİRT JETPA SPOR
Trendyol Süper Lig,14.10.2000 19:00,GAZİANTEPSPOR,3,1,YİMPAŞ YOZGATSPOR
Trendyol Süper Lig,14.10.2000 19:00,BURSASPOR,2,5,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,14.10.2000 19:00,TRABZONSPOR,2,0,BEŞİKTAŞ
Trendyol Süper Lig,15.10.2000 17:00,MKE ANKARAGÜCÜ,1,1,ANTALYASPOR A.Ş.
Trendyol Süper Lig,15.10.2000 19:00,ERZURUMSPOR,1,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,15.10.2000 19:00,FENERBAHÇE,1,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,15.10.2000 19:00,SAMSUNSPOR,3,0,KOCAELİSPOR
Trendyol Süper Lig,19.10.2000 20:00,ANTALYASPOR A.Ş.,2,2,GAZİANTEPSPOR
Trendyol Süper Lig,20.10.2000 20:00,ADANASPOR A.Ş.,1,1,FENERBAHÇE
Trendyol Süper Lig,21.10.2000 14:00,SİİRT JETPA SPOR,1,1,ERZURUMSPOR
Trendyol Süper Lig,21.10.2000 15:00,GENÇLERBİRLİĞİ,0,1,BURSASPOR
Trendyol Süper Lig,21.10.2000 15:00,YİMPAŞ YOZGATSPOR,1,1,TRABZONSPOR
Trendyol Süper Lig,21.10.2000 15:30,İSTANBULSPOR A.Ş.,0,0,SAMSUNSPOR
Trendyol Süper Lig,21.10.2000 15:30,DENİZLİSPOR,2,1,KOCAELİSPOR
Trendyol Süper Lig,21.10.2000 19:00,BEŞİKTAŞ,3,1,GALATASARAY
Trendyol Süper Lig,21.10.2000 19:00,ÇAYKUR RİZESPOR,1,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,27.10.2000 20:00,FENERBAHÇE,5,2,DENİZLİSPOR
Trendyol Süper Lig,28.10.2000 13:00,TRABZONSPOR,4,0,ANTALYASPOR A.Ş.
Trendyol Süper Lig,28.10.2000 13:30,MKE ANKARAGÜCÜ,4,0,ADANASPOR A.Ş.
Trendyol Süper Lig,28.10.2000 14:00,BURSASPOR,3,2,SİİRT JETPA SPOR
Trendyol Süper Lig,28.10.2000 19:00,ERZURUMSPOR,1,3,BEŞİKTAŞ
Trendyol Süper Lig,29.10.2000 13:30,GAZİANTEPSPOR,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,29.10.2000 13:30,SAMSUNSPOR,1,2,GENÇLERBİRLİĞİ
Trendyol Süper Lig,29.10.2000 14:00,KOCAELİSPOR,1,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,29.10.2000 19:00,GALATASARAY,3,0,YİMPAŞ YOZGATSPOR
Trendyol Süper Lig,03.11.2000 20:00,ÇAYKUR RİZESPOR,2,1,TRABZONSPOR
Trendyol Süper Lig,04.11.2000 13:30,GENÇLERBİRLİĞİ,0,0,KOCAELİSPOR
Trendyol Süper Lig,04.11.2000 14:00,DENİZLİSPOR,0,4,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,04.11.2000 19:00,BEŞİKTAŞ,2,1,BURSASPOR
Trendyol Süper Lig,05.11.2000 13:00,SİİRT JETPA SPOR,1,2,SAMSUNSPOR
Trendyol Süper Lig,05.11.2000 13:30,ADANASPOR A.Ş.,0,1,GAZİANTEPSPOR
Trendyol Süper Lig,05.11.2000 13:30,YİMPAŞ YOZGATSPOR,4,0,ERZURUMSPOR
Trendyol Süper Lig,05.11.2000 19:00,FENERBAHÇE,5,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,20.12.2000 20:00,ANTALYASPOR A.Ş.,0,1,GALATASARAY
Trendyol Süper Lig,10.11.2000 20:00,GAZİANTEPSPOR,2,1,FENERBAHÇE
Trendyol Süper Lig,11.11.2000 13:00,ERZURUMSPOR,0,1,ANTALYASPOR A.Ş.
Trendyol Süper Lig,11.11.2000 14:00,BURSASPOR,1,4,YİMPAŞ YOZGATSPOR
Trendyol Süper Lig,11.11.2000 14:00,İSTANBULSPOR A.Ş.,2,1,GENÇLERBİRLİĞİ
Trendyol Süper Lig,11.11.2000 19:00,GALATASARAY,2,0,ÇAYKUR RİZESPOR
Trendyol Süper Lig,12.11.2000 13:30,TRABZONSPOR,3,3,ADANASPOR A.Ş.
Trendyol Süper Lig,12.11.2000 13:30,MKE ANKARAGÜCÜ,3,1,DENİZLİSPOR
Trendyol Süper Lig,12.11.2000 14:00,KOCAELİSPOR,1,1,SİİRT JETPA SPOR
Trendyol Süper Lig,12.11.2000 19:00,SAMSUNSPOR,2,3,BEŞİKTAŞ
Trendyol Süper Lig,17.11.2000 20:00,BEŞİKTAŞ,3,2,KOCAELİSPOR
Trendyol Süper Lig,18.11.2000 13:00,ÇAYKUR RİZESPOR,4,1,ERZURUMSPOR
Trendyol Süper Lig,18.11.2000 13:00,SİİRT JETPA SPOR,0,2,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,18.11.2000 13:30,MKE ANKARAGÜCÜ,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,18.11.2000 19:00,ADANASPOR A.Ş.,1,2,GALATASARAY
Trendyol Süper Lig,19.11.2000 13:30,YİMPAŞ YOZGATSPOR,0,0,SAMSUNSPOR
Trendyol Süper Lig,19.11.2000 14:00,ANTALYASPOR A.Ş.,2,1,BURSASPOR
Trendyol Süper Lig,19.11.2000 14:00,DENİZLİSPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,19.11.2000 19:00,FENERBAHÇE,5,2,TRABZONSPOR
Trendyol Süper Lig,24.11.2000 20:00,TRABZONSPOR,2,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,25.11.2000 13:00,ERZURUMSPOR,2,0,ADANASPOR A.Ş.
