League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,27.10.2002 19:00,DİYARBAKIRSPOR,1,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,27.10.2002 19:00,BURSASPOR,1,1,GAZİANTEPSPOR
Trendyol Süper Lig,01.11.2002 20:00,TRABZONSPOR,3,0,DİYARBAKIRSPOR
Trendyol Süper Lig,02.11.2002 12:30,ELAZIĞSPOR,0,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,02.11.2002 13:30,GAZİANTEPSPOR,2,1,KOCAELİSPOR
Trendyol Süper Lig,02.11.2002 13:30,MKE ANKARAGÜCÜ,1,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,02.11.2002 13:30,ALTAY,0,4,ADANASPOR A.Ş.
Trendyol Süper Lig,02.11.2002 13:30,MALATYASPOR,2,1,SAMSUNSPOR
Trendyol Süper Lig,02.11.2002 18:00,GALATASARAY,3,1,GÖZTEPE A.Ş.
Trendyol Süper Lig,06.11.2002 18:00,DENİZLİSPOR,2,2,BURSASPOR
Trendyol Süper Lig,02.02.2003 19:00,FENERBAHÇE,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,08.11.2002 20:00,BEŞİKTAŞ A.Ş.,3,1,ELAZIĞSPOR
Trendyol Süper Lig,09.11.2002 13:30,DİYARBAKIRSPOR,3,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,09.11.2002 13:30,GÖZTEPE A.Ş.,1,2,TRABZONSPOR
Trendyol Süper Lig,09.11.2002 13:30,İSTANBULSPOR A.Ş.,1,3,GAZİANTEPSPOR
Trendyol Süper Lig,09.11.2002 19:00,ADANASPOR A.Ş.,0,0,GALATASARAY
Trendyol Süper Lig,10.11.2002 13:30,KOCAELİSPOR,2,1,DENİZLİSPOR
Trendyol Süper Lig,10.11.2002 13:30,GENÇLERBİRLİĞİ,1,0,ALTAY
Trendyol Süper Lig,10.11.2002 13:30,BURSASPOR,1,1,MALATYASPOR
Trendyol Süper Lig,10.11.2002 19:00,SAMSUNSPOR,1,3,FENERBAHÇE
Trendyol Süper Lig,16.11.2002 13:30,MKE ANKARAGÜCÜ,1,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,16.11.2002 13:30,ADANASPOR A.Ş.,2,7,GENÇLERBİRLİĞİ
Trendyol Süper Lig,16.11.2002 19:00,GAZİANTEPSPOR,2,0,DİYARBAKIRSPOR
Trendyol Süper Lig,16.11.2002 19:00,GALATASARAY,2,1,TRABZONSPOR
Trendyol Süper Lig,17.11.2002 13:30,MALATYASPOR,2,1,KOCAELİSPOR
Trendyol Süper Lig,17.11.2002 13:30,ELAZIĞSPOR,3,1,SAMSUNSPOR
Trendyol Süper Lig,17.11.2002 13:30,DENİZLİSPOR,2,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,17.11.2002 17:00,ALTAY,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,17.11.2002 19:00,FENERBAHÇE,7,1,BURSASPOR
Trendyol Süper Lig,23.11.2002 13:30,DİYARBAKIRSPOR,0,0,DENİZLİSPOR
Trendyol Süper Lig,23.11.2002 13:30,İSTANBULSPOR A.Ş.,0,0,MALATYASPOR
Trendyol Süper Lig,23.11.2002 17:00,KOCAELİSPOR,1,2,FENERBAHÇE
Trendyol Süper Lig,23.11.2002 19:00,TRABZONSPOR,3,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,23.11.2002 19:00,BEŞİKTAŞ A.Ş.,3,0,ADANASPOR A.Ş.
Trendyol Süper Lig,24.11.2002 13:30,GÖZTEPE A.Ş.,2,1,GAZİANTEPSPOR
Trendyol Süper Lig,24.11.2002 13:30,BURSASPOR,1,1,ELAZIĞSPOR
Trendyol Süper Lig,24.11.2002 19:00,SAMSUNSPOR,2,4,ALTAY
Trendyol Süper Lig,24.11.2002 19:00,GENÇLERBİRLİĞİ,1,0,GALATASARAY
Trendyol Süper Lig,29.11.2002 20:00,FENERBAHÇE,2,0,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,30.11.2002 12:30,ELAZIĞSPOR,0,1,KOCAELİSPOR
Trendyol Süper Lig,30.11.2002 18:00,GAZİANTEPSPOR,0,0,TRABZONSPOR
Trendyol Süper Lig,30.11.2002 19:00,ALTAY,2,1,BURSASPOR
Trendyol Süper Lig,30.11.2002 19:00,MKE ANKARAGÜCÜ,1,2,GALATASARAY
Trendyol Süper Lig,01.12.2002 13:30,MALATYASPOR,0,1,DİYARBAKIRSPOR
Trendyol Süper Lig,01.12.2002 19:00,ADANASPOR A.Ş.,1,1,SAMSUNSPOR
Trendyol Süper Lig,01.12.2002 19:00,DENİZLİSPOR,0,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,01.12.2002 19:00,BEŞİKTAŞ A.Ş.,1,1,GENÇLERBİRLİĞİ
Trendyol Süper Lig,07.12.2002 13:30,KOCAELİSPOR,3,0,ALTAY
Trendyol Süper Lig,07.12.2002 13:30,İSTANBULSPOR A.Ş.,2,1,ELAZIĞSPOR
Trendyol Süper Lig,07.12.2002 16:00,TRABZONSPOR,1,0,DENİZLİSPOR
Trendyol Süper Lig,07.12.2002 19:00,DİYARBAKIRSPOR,3,0,FENERBAHÇE
Trendyol Süper Lig,08.12.2002 13:30,GÖZTEPE A.Ş.,0,3,MALATYASPOR
Trendyol Süper Lig,08.12.2002 13:30,SAMSUNSPOR,2,7,GENÇLERBİRLİĞİ
Trendyol Süper Lig,08.12.2002 13:30,MKE ANKARAGÜCÜ,5,3,GAZİANTEPSPOR
Trendyol Süper Lig,08.12.2002 13:30,BURSASPOR,3,0,ADANASPOR A.Ş.
Trendyol Süper Lig,08.12.2002 19:00,GALATASARAY,0,1,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,13.12.2002 20:00,GAZİANTEPSPOR,1,2,GALATASARAY
Trendyol Süper Lig,14.12.2002 13:30,ADANASPOR A.Ş.,1,0,KOCAELİSPOR
Trendyol Süper Lig,14.12.2002 13:30,ALTAY,4,3,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,14.12.2002 13:30,MALATYASPOR,2,2,TRABZONSPOR
Trendyol Süper Lig,14.12.2002 19:00,FENERBAHÇE,0,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,15.12.2002 13:30,ELAZIĞSPOR,0,1,DİYARBAKIRSPOR
Trendyol Süper Lig,15.12.2002 13:30,GENÇLERBİRLİĞİ,2,0,BURSASPOR
Trendyol Süper Lig,15.12.2002 19:00,BEŞİKTAŞ A.Ş.,2,0,SAMSUNSPOR
Trendyol Süper Lig,28.01.2003 13:30,DENİZLİSPOR,2,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,21.12.2002 13:30,ADANASPOR A.Ş.,0,3,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,21.12.2002 19:00,BEŞİKTAŞ A.Ş.,1,0,BURSASPOR
Trendyol Süper Lig,22.12.2002 13:30,ALTAY,2,2,DİYARBAKIRSPOR
Trendyol Süper Lig,22.12.2002 13:30,GENÇLERBİRLİĞİ,5,1,KOCAELİSPOR
Trendyol Süper Lig,22.12.2002 16:30,SAMSUNSPOR,0,1,GALATASARAY
Trendyol Süper Lig,22.12.2002 19:00,FENERBAHÇE,3,2,TRABZONSPOR
Trendyol Süper Lig,02.02.2003 13:30,DENİZLİSPOR,1,0,GAZİANTEPSPOR
Trendyol Süper Lig,02.02.2003 13:30,ELAZIĞSPOR,0,0,GÖZTEPE A.Ş.
Trendyol Süper Lig,02.02.2003 13:30,MALATYASPOR,3,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,08.02.2003 13:30,GAZİANTEPSPOR,3,0,MALATYASPOR
Trendyol Süper Lig,08.02.2003 13:30,GÖZTEPE A.Ş.,0,2,ALTAY
Trendyol Süper Lig,08.02.2003 13:30,BURSASPOR,2,1,SAMSUNSPOR
Trendyol Süper Lig,08.02.2003 19:00,KOCAELİSPOR,0,5,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,09.02.2003 13:30,İSTANBULSPOR A.Ş.,1,3,GENÇLERBİRLİĞİ
Trendyol Süper Lig,09.02.2003 13:30,DİYARBAKIRSPOR,2,0,ADANASPOR A.Ş.
Trendyol Süper Lig,09.02.2003 13:30,TRABZONSPOR,1,1,ELAZIĞSPOR
Trendyol Süper Lig,09.02.2003 19:02,MKE ANKARAGÜCÜ,0,0,FENERBAHÇE
Trendyol Süper Lig,19.03.2003 20:00,GALATASARAY,0,1,DENİZLİSPOR
Trendyol Süper Lig,15.02.2003 13:30,GENÇLERBİRLİĞİ,3,1,DİYARBAKIRSPOR
Trendyol Süper Lig,15.02.2003 13:30,SAMSUNSPOR,1,0,KOCAELİSPOR
Trendyol Süper Lig,15.02.2003 13:30,MALATYASPOR,2,1,DENİZLİSPOR
Trendyol Süper Lig,15.02.2003 19:00,FENERBAHÇE,2,0,GAZİANTEPSPOR
Trendyol Süper Lig,16.02.2003 13:30,ELAZIĞSPOR,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,16.02.2003 13:30,ALTAY,1,4,TRABZONSPOR
Trendyol Süper Lig,16.02.2003 13:30,ADANASPOR A.Ş.,1,2,GÖZTEPE A.Ş.
Trendyol Süper Lig,16.02.2003 16:30,BEŞİKTAŞ A.Ş.,2,1,İSTANBULSPOR A.Ş.
Trendyol Süper Lig,16.02.2003 19:00,BURSASPOR,0,4,GALATASARAY
Trendyol Süper Lig,22.02.2003 13:30,GÖZTEPE A.Ş.,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,22.02.2003 19:00,TRABZONSPOR,3,1,ADANASPOR A.Ş.
Trendyol Süper Lig,23.02.2003 13:30,MKE ANKARAGÜCÜ,3,0,ALTAY
Trendyol Süper Lig,23.02.2003 13:30,İSTANBULSPOR A.Ş.,0,1,SAMSUNSPOR
Trendyol Süper Lig,23.02.2003 19:00,GALATASARAY,2,1,MALATYASPOR
Trendyol Süper Lig,19.03.2003 18:00,GAZİANTEPSPOR,4,0,ELAZIĞSPOR
Trendyol Süper Lig,19.03.2003 18:00,KOCAELİSPOR,0,0,BURSASPOR
Trendyol Süper Lig,16.04.2003 17:30,DİYARBAKIRSPOR,1,0,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,16.04.2003 20:00,DENİZLİSPOR,1,1,FENERBAHÇE
Trendyol Süper Lig,28.02.2003 20:00,FENERBAHÇE,2,0,MALATYASPOR
Trendyol Süper Lig,01.03.2003 16:30,ALTAY,0,0,GAZİANTEPSPOR
Trendyol Süper Lig,01.03.2003 16:30,GENÇLERBİRLİĞİ,2,1,TRABZONSPOR
