League Name,Match Date,Home Team,Away Team,Score
LaLiga2,Sun12/3/00,CD Tenerife,Extremadura,0:2
LaLiga2,,CD Badajoz,Sevilla FC,2:0
LaLiga2,,Real Betis,CD Leganés,2:1
LaLiga2,,Córdoba CF,Real Murcia,1:3
LaLiga2,,SD Compostela,Albacete,0:2
LaLiga2,,Real Jaén CF,Sporting Gijón,0:2
LaLiga2,,,,
LaLiga2,Sat12/9/00,SD Eibar,CD Tenerife,2:2
LaLiga2,,UE Lleida,CD Badajoz,1:1
LaLiga2,,UD Salamanca,Córdoba CF,1:1
LaLiga2,,Getafe,Real Jaén CF,0:1
LaLiga2,,Extremadura,Elche CF,1:2
LaLiga2,Sun12/10/00,Sevilla FC,Atlético Madrid,3:1
LaLiga2,,Albacete,Real Betis,0:0
LaLiga2,,Levante,Recr. Huelva,1:1
LaLiga2,,Sporting Gijón,SD Compostela,5:2
LaLiga2,,Real Murcia,Uni. Las Palmas,1:1
LaLiga2,,CD Leganés,Racing Ferrol,1:1
LaLiga2,,,,
LaLiga2,Sat12/16/00,CD Tenerife,Real Murcia,1:0
LaLiga2,,Real Jaén CF,Levante,0:1
LaLiga2,,Uni. Las Palmas,UD Salamanca,1:3
LaLiga2,Sun12/17/00,Córdoba CF,Sevilla FC,0:1
LaLiga2,,Real Betis,Sporting Gijón,1:0
LaLiga2,,Atlético Madrid,UE Lleida,3:2
LaLiga2,,SD Compostela,Getafe,1:1
LaLiga2,,Elche CF,Recr. Huelva,0:1
LaLiga2,,Extremadura,SD Eibar,2:0
LaLiga2,,CD Badajoz,CD Leganés,1:0
LaLiga2,Wed2/21/01,Racing Ferrol,Albacete,3:2
LaLiga2,,,,
LaLiga2,Wed12/20/00,UD Salamanca,CD Tenerife,3:1
LaLiga2,,Sevilla FC,Uni. Las Palmas,2:2
LaLiga2,,Getafe,Real Betis,0:2
LaLiga2,,UE Lleida,Córdoba CF,2:0
LaLiga2,,Albacete,CD Badajoz,1:1
LaLiga2,,Levante,SD Compostela,0:2
LaLiga2,,SD Eibar,Elche CF,2:1
LaLiga2,,Recr. Huelva,Real Jaén CF,2:0
LaLiga2,,Real Murcia,Extremadura,1:3
LaLiga2,,Sporting Gijón,Racing Ferrol,1:1
LaLiga2,Thu12/21/00,CD Leganés,Atlético Madrid,1:2
LaLiga2,,,,
LaLiga2,Sat1/6/01,Real Betis,Levante,1:0
LaLiga2,Sun1/7/01,CD Tenerife,Sevilla FC,1:2
LaLiga2,,Atlético Madrid,Albacete,0:0
LaLiga2,,Uni. Las Palmas,UE Lleida,0:0
LaLiga2,,Córdoba CF,CD Leganés,1:1
LaLiga2,,Racing Ferrol,Getafe,2:1
LaLiga2,,Elche CF,Real Jaén CF,0:0
LaLiga2,,CD Badajoz,Sporting Gijón,2:0
LaLiga2,,Extremadura,UD Salamanca,0:1
LaLiga2,,SD Compostela,Recr. Huelva,2:0
LaLiga2,,SD Eibar,Real Murcia,0:1
LaLiga2,,,,
LaLiga2,Sat1/13/01,UE Lleida,CD Tenerife,1:1
LaLiga2,,Sevilla FC,Extremadura,3:0
LaLiga2,Sun1/14/01,Recr. Huelva,Real Betis,1:1
LaLiga2,,Sporting Gijón,Atlético Madrid,1:0
LaLiga2,,Albacete,Córdoba CF,0:0
LaLiga2,,Getafe,CD Badajoz,2:1
LaLiga2,,Levante,Racing Ferrol,0:0
LaLiga2,,Elche CF,Real Murcia,1:1
LaLiga2,,CD Leganés,Uni. Las Palmas,1:1
LaLiga2,,Real Jaén CF,SD Compostela,1:1
LaLiga2,,UD Salamanca,SD Eibar,0:2
LaLiga2,,,,
LaLiga2,Sat1/20/01,SD Eibar,Sevilla FC,1:0
LaLiga2,,Atlético Madrid,Getafe,2:1
LaLiga2,,Uni. Las Palmas,Albacete,1:0
LaLiga2,,SD Compostela,Elche CF,1:1
LaLiga2,Sun1/21/01,CD Tenerife,CD Leganés,3:2
LaLiga2,,Real Betis,Real Jaén CF,1:0
LaLiga2,,Extremadura,UE Lleida,0:0
LaLiga2,,CD Badajoz,Levante,1:1
LaLiga2,,Racing Ferrol,Recr. Huelva,1:0
LaLiga2,,Real Murcia,UD Salamanca,1:2
LaLiga2,Wed2/21/01,Córdoba CF,Sporting Gijón,2:0
LaLiga2,,,,
LaLiga2,Sat1/27/01,Real Betis,SD Compostela,2:0
LaLiga2,,Atlético Madrid,Levante,1:1
LaLiga2,Sun1/28/01,CD Tenerife,Albacete,1:0
LaLiga2,,Real Murcia,Sevilla FC,1:1
LaLiga2,,SD Eibar,UE Lleida,2:0
LaLiga2,,Córdoba CF,Getafe,4:1
LaLiga2,,UD Salamanca,Elche CF,2:0
LaLiga2,,Uni. Las Palmas,Sporting Gijón,0:2
LaLiga2,,Racing Ferrol,Real Jaén CF,1:1
LaLiga2,,Extremadura,CD Leganés,0:3
LaLiga2,,CD Badajoz,Recr. Huelva,1:1
LaLiga2,,,,
LaLiga2,Sat2/3/01,Recr. Huelva,Atlético Madrid,1:1
LaLiga2,Sun2/4/01,Sporting Gijón,CD Tenerife,0:0
LaLiga2,,Sevilla FC,UD Salamanca,2:0
LaLiga2,,Elche CF,Real Betis,1:1
LaLiga2,,UE Lleida,Real Murcia,0:1
LaLiga2,,Levante,Córdoba CF,2:1
LaLiga2,,Albacete,Extremadura,2:1
LaLiga2,,Getafe,Uni. Las Palmas,0:0
LaLiga2,,SD Compostela,Racing Ferrol,0:5
LaLiga2,,Real Jaén CF,CD Badajoz,0:0
