League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,07.10.2001 15:00,SİVASSPOR,AYDINSPOR,2,0
Trendyol 1. Lig,07.10.2001 15:00,HATAYSPOR,ERCİYESSPOR,0,1
Trendyol 1. Lig,07.10.2001 15:30,İZMİRSPOR,ELAZIĞSPOR,0,0
Trendyol 1. Lig,07.10.2001 15:30,BÜYÜKŞEHİR BLD.SPOR,ŞEKERSPOR,0,1
Trendyol 1. Lig,07.10.2001 19:00,ADANASPOR A.Ş.,DARDANELSPOR A.Ş.,6,1
Trendyol 1. Lig,14.10.2001 14:00,ELAZIĞSPOR,KAYSERİSPOR,2,2
Trendyol 1. Lig,14.10.2001 14:00,A.SEBATSPOR,İZMİRSPOR,0,0
Trendyol 1. Lig,14.10.2001 15:00,ŞEKERSPOR,GÜMÜŞHANE DOĞANSPOR,3,1
Trendyol 1. Lig,14.10.2001 15:00,ERCİYESSPOR,ERZURUMSPOR,3,2
Trendyol 1. Lig,14.10.2001 15:00,KOMBASSAN KONYASPOR,B.B. ANKARASPOR,2,0
Trendyol 1. Lig,14.10.2001 15:30,DARDANELSPOR A.Ş.,SİVASSPOR,3,1
Trendyol 1. Lig,14.10.2001 15:30,SAKARYASPOR A.Ş.,SİİRT JETPA SPOR,2,1
Trendyol 1. Lig,14.10.2001 15:30,ALTAY,BÜYÜKŞEHİR BLD.SPOR,1,1
Trendyol 1. Lig,14.10.2001 15:30,AYDINSPOR,HATAYSPOR,3,1
Trendyol 1. Lig,14.10.2001 19:00,ADANASPOR A.Ş.,BATMAN PETROLSPOR,4,2
Trendyol 1. Lig,20.10.2001 15:30,İZMİRSPOR,B.B. ANKARASPOR,2,0
Trendyol 1. Lig,21.10.2001 14:00,SİİRT JETPA SPOR,ELAZIĞSPOR,3,3
Trendyol 1. Lig,21.10.2001 14:00,ERZURUMSPOR,AYDINSPOR,3,1
Trendyol 1. Lig,21.10.2001 14:00,GÜMÜŞHANE DOĞANSPOR,ALTAY,4,2
Trendyol 1. Lig,21.10.2001 15:00,KAYSERİSPOR,A.SEBATSPOR,1,1
Trendyol 1. Lig,21.10.2001 15:00,SİVASSPOR,BATMAN PETROLSPOR,1,0
Trendyol 1. Lig,21.10.2001 15:00,HATAYSPOR,DARDANELSPOR A.Ş.,2,2
Trendyol 1. Lig,21.10.2001 15:00,ŞEKERSPOR,KOMBASSAN KONYASPOR,3,3
Trendyol 1. Lig,21.10.2001 15:30,BÜYÜKŞEHİR BLD.SPOR,ERCİYESSPOR,3,0
Trendyol 1. Lig,21.10.2001 19:00,ADANASPOR A.Ş.,SAKARYASPOR A.Ş.,2,0
Trendyol 1. Lig,28.10.2001 13:30,DARDANELSPOR A.Ş.,ERZURUMSPOR,2,1
Trendyol 1. Lig,28.10.2001 13:30,BATMAN PETROLSPOR,HATAYSPOR,1,0
Trendyol 1. Lig,28.10.2001 13:30,SAKARYASPOR A.Ş.,SİVASSPOR,5,1
Trendyol 1. Lig,28.10.2001 13:30,ELAZIĞSPOR,ADANASPOR A.Ş.,4,0
Trendyol 1. Lig,28.10.2001 13:30,A.SEBATSPOR,SİİRT JETPA SPOR,1,0
Trendyol 1. Lig,28.10.2001 13:30,B.B. ANKARASPOR,KAYSERİSPOR,1,0
Trendyol 1. Lig,28.10.2001 13:30,ALTAY,ŞEKERSPOR,1,2
Trendyol 1. Lig,28.10.2001 13:30,ERCİYESSPOR,GÜMÜŞHANE DOĞANSPOR,2,0
Trendyol 1. Lig,28.10.2001 13:30,AYDINSPOR,BÜYÜKŞEHİR BLD.SPOR,0,2
Trendyol 1. Lig,28.10.2001 13:30,KOMBASSAN KONYASPOR,İZMİRSPOR,6,2
Trendyol 1. Lig,03.11.2001 13:30,ŞEKERSPOR,ERCİYESSPOR,3,3
Trendyol 1. Lig,03.11.2001 13:30,ALTAY,KOMBASSAN KONYASPOR,1,0
Trendyol 1. Lig,04.11.2001 13:30,KAYSERİSPOR,İZMİRSPOR,0,1
Trendyol 1. Lig,04.11.2001 13:30,SİİRT JETPA SPOR,B.B. ANKARASPOR,2,0
Trendyol 1. Lig,04.11.2001 13:30,SİVASSPOR,ELAZIĞSPOR,0,4
Trendyol 1. Lig,04.11.2001 13:30,HATAYSPOR,SAKARYASPOR A.Ş.,1,0
Trendyol 1. Lig,04.11.2001 13:30,ERZURUMSPOR,BATMAN PETROLSPOR,5,1
Trendyol 1. Lig,04.11.2001 13:30,BÜYÜKŞEHİR BLD.SPOR,DARDANELSPOR A.Ş.,5,2
Trendyol 1. Lig,04.11.2001 13:30,GÜMÜŞHANE DOĞANSPOR,AYDINSPOR,0,0
Trendyol 1. Lig,04.11.2001 17:00,ADANASPOR A.Ş.,A.SEBATSPOR,1,4
Trendyol 1. Lig,10.11.2001 13:30,İZMİRSPOR,SİİRT JETPA SPOR,3,1
Trendyol 1. Lig,11.11.2001 13:30,DARDANELSPOR A.Ş.,GÜMÜŞHANE DOĞANSPOR,4,3
Trendyol 1. Lig,11.11.2001 13:30,BATMAN PETROLSPOR,BÜYÜKŞEHİR BLD.SPOR,0,0
Trendyol 1. Lig,11.11.2001 13:30,SAKARYASPOR A.Ş.,ERZURUMSPOR,2,0
Trendyol 1. Lig,11.11.2001 13:30,ELAZIĞSPOR,HATAYSPOR,3,1
Trendyol 1. Lig,11.11.2001 13:30,A.SEBATSPOR,SİVASSPOR,6,4
Trendyol 1. Lig,11.11.2001 13:30,B.B. ANKARASPOR,ADANASPOR A.Ş.,0,3
Trendyol 1. Lig,11.11.2001 13:30,ERCİYESSPOR,ALTAY,0,1
Trendyol 1. Lig,11.11.2001 13:30,AYDINSPOR,ŞEKERSPOR,1,2
Trendyol 1. Lig,11.11.2001 13:30,KOMBASSAN KONYASPOR,KAYSERİSPOR,0,0
Trendyol 1. Lig,18.11.2001 13:30,SİİRT JETPA SPOR,KAYSERİSPOR,1,0
Trendyol 1. Lig,18.11.2001 13:30,ADANASPOR A.Ş.,İZMİRSPOR,4,0
Trendyol 1. Lig,18.11.2001 13:30,SİVASSPOR,B.B. ANKARASPOR,2,1
Trendyol 1. Lig,18.11.2001 13:30,HATAYSPOR,A.SEBATSPOR,0,0
Trendyol 1. Lig,18.11.2001 13:30,ERZURUMSPOR,ELAZIĞSPOR,1,1
Trendyol 1. Lig,18.11.2001 13:30,BÜYÜKŞEHİR BLD.SPOR,SAKARYASPOR A.Ş.,0,1
Trendyol 1. Lig,18.11.2001 13:30,ŞEKERSPOR,DARDANELSPOR A.Ş.,5,0
