Home Team,Score,Away Team
İSKENDERUNSPOR A.Ş.,0 - 3,GMG KASTAMONUSPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,1 - 1,İSKENDERUNSPOR A.Ş.
İNEGÖLSPOR,1 - 1,BELEDİYE DERİNCE SPOR
SOMASPOR,2 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
DENİZLİSPOR,0 - 0,SARIYER
FETHİYESPOR,0 - 1,AMED SPORTİF FAALİYETLER
ETİMESGUT BELEDİYESPOR,0 - 1,ISPARTA 32 SPOR
ANAGOLD 24ERZİNCANSPOR,5 - 0,KARAMAN FUTBOL KULÜBÜ
MENEMEN FUTBOL KULÜBÜ,5 - 2,DÜZCE CAM DÜZCESPOR
GMG KASTAMONUSPOR,5 - 1,UŞAK SPOR A.Ş.
UŞAK SPOR A.Ş.,1 - 6,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
AMED SPORTİF FAALİYETLER,5 - 2,İNEGÖLSPOR
KARAMAN FUTBOL KULÜBÜ,1 - 1,FETHİYESPOR
DÜZCE CAM DÜZCESPOR,3 - 0,DENİZLİSPOR
İSKENDERUNSPOR A.Ş.,3 - 0,SOMASPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,1 - 1,ETİMESGUT BELEDİYESPOR
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 0,MENEMEN FUTBOL KULÜBÜ
ISPARTA 32 SPOR,1 - 1,ANAGOLD 24ERZİNCANSPOR
BELEDİYE DERİNCE SPOR,0 - 0,GMG KASTAMONUSPOR
MENEMEN FUTBOL KULÜBÜ,0 - 1,İSKENDERUNSPOR A.Ş.
SARIYER,2 - 0,DÜZCE CAM DÜZCESPOR
FETHİYESPOR,5 - 0,ISPARTA 32 SPOR
İNEGÖLSPOR,1 - 0,KARAMAN FUTBOL KULÜBÜ
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,2 - 2,BELEDİYE DERİNCE SPOR
ANAGOLD 24ERZİNCANSPOR,0 - 0,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
DENİZLİSPOR,2 - 2,MOTOLUX 68 AKSARAY BELEDİYE SPOR
GMG KASTAMONUSPOR,0 - 1,AMED SPORTİF FAALİYETLER
SOMASPOR,2 - 0,UŞAK SPOR A.Ş.
AMED SPORTİF FAALİYETLER,0 - 2,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
UŞAK SPOR A.Ş.,0 - 4,MENEMEN FUTBOL KULÜBÜ
MOTOLUX 68 AKSARAY BELEDİYE SPOR,0 - 0,SARIYER
KARAMAN FUTBOL KULÜBÜ,0 - 3,GMG KASTAMONUSPOR
ETİMESGUT BELEDİYESPOR,2 - 0,ANAGOLD 24ERZİNCANSPOR
BELEDİYE DERİNCE SPOR,1 - 0,SOMASPOR
ISPARTA 32 SPOR,1 - 1,İNEGÖLSPOR
İSKENDERUNSPOR A.Ş.,3 - 0,DENİZLİSPOR
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,2 - 0,FETHİYESPOR
ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ,7 - 1,KARAMAN FUTBOL KULÜBÜ
FETHİYESPOR,0 - 0,ETİMESGUT BELEDİYESPOR
GMG KASTAMONUSPOR,3 - 0,ISPARTA 32 SPOR
MENEMEN FUTBOL KULÜBÜ,7 - 1,BELEDİYE DERİNCE SPOR
SARIYER,3 - 0,İSKENDERUNSPOR A.Ş.
DÜZCE CAM DÜZCESPOR,2 - 1,MOTOLUX 68 AKSARAY BELEDİYE SPOR
İNEGÖLSPOR,0 - 1,KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR
SOMASPOR,0 - 1,AMED SPORTİF FAALİYETLER
DENİZLİSPOR,4 - 1,UŞAK SPOR A.Ş.
ISPARTA 32 SPOR,0 - 6,ALAGÖZ HOLDİNG IĞDIR FUTBOL KULÜBÜ
UŞAK SPOR A.Ş.,0 - 5,SARIYER
AMED SPORTİF FAALİYETLER,0 - 0,MENEMEN FUTBOL KULÜBÜ
KUZEY MARMARA A.Ş ARNAVUTKÖY BLD. GENÇLİK VE SPOR,2 - 2,GMG KASTAMONUSPOR
KARAMAN FUTBOL KULÜBÜ,1 - 4,SOMASPOR
ANAGOLD 24ERZİNCANSPOR,2 - 1,FETHİYESPOR
BELEDİYE DERİNCE SPOR,2 - 1,DENİZLİSPOR
ETİMESGUT BELEDİYESPOR,1 - 1,İNEGÖLSPOR
İSKENDERUNSPOR A.Ş.,1 - 1,DÜZCE CAM DÜZCESPOR
