Home Team,Score,Away Team
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 0,ANKARA DEMİRSPOR
VEFA GROUP VAN SPOR FK,1 - 1,KARACABEY BELEDİYE SPOR A.Ş.
DİYARBEKİR SPOR A.Ş.,1 - 0,ANKARASPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 1,BUCASPOR 1928
TUNA TARIM KIRKLARELİSPOR,3 - 0,BURSASPOR
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 0,NAZİLLİ BELEDİYESPOR
1461 TRABZON FK,2 - 0,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
BURSASPOR,3 - 3,ZONGULDAK KÖMÜRSPOR A.Ş
NAZİLLİ BELEDİYESPOR,2 - 1,DİYARBEKİR SPOR A.Ş.
ANKARASPOR,2 - 2,VEFA GROUP VAN SPOR FK
ALTINORDU,0 - 1,HES İLAÇ AFYONSPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,1 - 0,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
BUCASPOR 1928,2 - 0,TUNA TARIM KIRKLARELİSPOR
ANKARA DEMİRSPOR,1 - 3,1461 TRABZON FK
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,1 - 2,ESENLER EROKSPOR
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 2,KIRŞEHİR FUTBOL SPOR KULÜBÜ
ESENLER EROKSPOR,3 - 0,ANKARA DEMİRSPOR
TUNA TARIM KIRKLARELİSPOR,3 - 2,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
DİYARBEKİR SPOR A.Ş.,2 - 0,ALTINORDU
KIRŞEHİR FUTBOL SPOR KULÜBÜ,0 - 1,SERİK BELEDİYESPOR
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 1,ANKARASPOR
1461 TRABZON FK,3 - 0,BURSASPOR
HES İLAÇ AFYONSPOR KULÜBÜ,2 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
VEFA GROUP VAN SPOR FK,2 - 2,NAZİLLİ BELEDİYESPOR
ZONGULDAK KÖMÜRSPOR A.Ş,0 - 3,BUCASPOR 1928
ANKARA DEMİRSPOR,1 - 1,HES İLAÇ AFYONSPOR KULÜBÜ
BURSASPOR,1 - 1,ESENLER EROKSPOR
ALTINORDU,1 - 1,VAN SPOR FK
NAZİLLİ BELEDİYESPOR,1 - 4,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
SERİK BELEDİYESPOR,0 - 0,TUNA TARIM KIRKLARELİSPOR
ANKARASPOR,1 - 1,KARACABEY BELEDİYE SPOR A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,0 - 0,DİYARBEKİR SPOR A.Ş.
BUCASPOR 1928,1 - 1,1461 TRABZON FK
